"Crop","Best Season to Cultivate","Harvesting Time","Duration (Months)","Investment per Acre (INR)","Average Selling Price (INR per Acre)","Suitable Soil Type","Water Requirement (liters per acre per day)","Nitrogen Range (kg/acre)","Phosphorus Range (kg/acre)","Potassium Range (kg/acre)","Humidity Level Range (%)","Temperature Range (°C)","pH Range"
"Mango","January-April","April-July",6,60000,150000,"Loamy, Red Soil",2500,"60-80","20-30","40-60","50-70","20-30","6.0-7.5"
"Banana","Throughout Year","9-12 months",12,50000,100000,"Well-drained, Loamy",3500,"90-120","30-40","50-70","60-80","25-35","5.5-7.0"
"Papaya","February-May","December-February",10,45000,120000,"Loamy, Sandy Loam",3000,"50-70","15-25","30-50","50-70","20-30","5.5-6.5"
"Guava","June-August","December-January",7,40000,80000,"Sandy Loam, Red Soil",2000,"50-70","15-25","30-50","50-70","20-30","6.0-7.0"
"Citrus (Sweet Lime)","July-August","February-March",8,55000,110000,"Loamy, Black Soil",2200,"80-100","30-40","60-80","50-70","20-30","6.0-7.5"
"Pomegranate","September-November","April-May",8,60000,130000,"Loamy, Sandy Loam",2300,"70-90","20-30","50-70","60-80","20-30","6.0-7.0"
"Sapota (Chikoo)","August-October","March-April",7,45000,90000,"Sandy, Loamy",1800,"50-70","20-30","40-60","50-70","25-35","6.0-7.5"
"Pineapple","July-August","July-October",13,55000,100000,"Well-drained, Sandy Loam",2500,"60-80","20-30","40-60","50-70","20-30","5.5-6.5"
"Custard Apple (Sitaphal)","June-August","April-June",9,50000,70000,"Loamy, Red Soil",2000,"60-80","20-30","40-60","50-70","20-30","6.0-7.0"
"Watermelon","December-February","March-May",4,35000,60000,"Sandy Loam, Loamy",3000,"60-80","20-30","40-60","50-70","20-30","6.0-7.0"
"Muskmelon","January-March","March-May",4,35000,55000,"Sandy Loam, Loamy",3000,"60-80","30-40","50-70","50-70","20-30","6.0-7.0"
"Jackfruit","June-August","January-March",8,60000,120000,"Sandy Loam, Red Soil",2200,"50-70","15-25","30-50","50-70","20-30","6.0-7.0"
"Amla (Indian Gooseberry)","February-March","August-September",7,40000,70000,"Sandy Loam, Loamy",2500,"60-80","20-30","40-60","50-70","20-30","6.0-7.5"
"Ber (Indian Jujube)","January-February","June-August",6,35000,60000,"Sandy Loam, Red Soil",1500,"60-80","20-30","40-60","50-70","20-30","6.0-7.5"
"Lychee","April-June","October-November",6,30000,85000,"Well-drained, Sandy",1800,"70-90","20-30","40-60","60-80","20-30","5.5-7.0"
"Tomato","October-November","January-March",4,25000,30000,"Loamy, Red Soil,Black Soil",1500,"60-80","20-30","40-60","50-70","20-30","6.0-7.0"
"Brinjal (Eggplant)","June-September","August-October",4,25000,35000,"Loamy, Red Soil",1600,"60-80","20-30","40-60","50-70","20-30","6.0-7.0"
"Okra (Lady's Finger)","May-July","July-September",3,20000,25000,"Sandy Loam, Loamy",1200,"60-80","20-30","40-60","50-70","20-30","6.0-7.0"
"Chili Pepper","August-October","October-December",4,22000,30000,"Loamy, Red Soil",1300,"60-80","20-30","40-60","50-70","20-30","6.0-7.0"
"Cabbage","September-November","November-January",3,20000,20000,"Clay Loam, Loamy",1000,"50-70","15-25","30-50","50-70","20-30","6.0-7.5"
"Cauliflower","October-December","November-January",3,20000,22000,"Clay Loam, Red Soil",1000,"60-80","20-30","40-60","50-70","20-30","6.0-7.5"
"Carrot","October-December","January-March",4,25000,25000,"Sandy Loam, Red Soil",1200,"60-80","20-30","40-60","50-70","20-30","6.0-7.0"
"Potato","November-February","January-March",4,30000,30000,"Loamy, Sandy Loam",1500,"50-70","15-25","30-50","50-70","20-30","6.0-7.0"
"Onion","October-January","January-March",4,30000,35000,"Loamy, Red Soil",1200,"60-80","20-30","40-60","50-70","20-30","6.0-7.0"
